course_name,institution,course_id,num_reviews,avg_rating
Building Containerized Applications on AWS,Amazon Web Services,containerized-apps-on-aws,40,4.25
Understanding child development: from synapse to society,Utrecht University,child-development,39,4.59
Principles of Sustainable Finance,Erasmus University Rotterdam,sustainable-finance,39,4.79
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,leading-for-equity-diversity-inclusion,38,4.71
Japanese for beginners 1,Saint Petersburg State University,japanese-1,36,3.61
Project Launch,"University of California, Irvine",project-management,36,4.36
Mastering Final Cut Pro,LearnQuest,mastering-final-cut-pro,36,4.44
Antibiotic Stewardship,Stanford University,antibiotic-stewardship,36,4.17
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,intro-accounting-data-analytics-visual,36,4.86
"Everyday Excel, Part 2",University of Colorado Boulder,everyday-excel-part-2,35,4.94
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,google-cbrs-cpi-training,33,4.82
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,enterprise-architecture,32,4.53
Community Organizing for Social Justice,University of Michigan,community-organizing,31,4.52
Dentistry 101,University of Michigan,dentistry101,31,4.84
Write A Feature Length Screenplay For Film Or Television,Michigan State University,write-a-feature-length-screenplay-for-film-or-television,31,4.61
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,introduction-to-computers-and-office-productivity-software,30,4.53
Foundations of Mindfulness,Rice University,foundations-of-mindfulness,30,4.77
Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,enlinea,30,4.83
Strategic Business Management - Microeconomics,"University of California, Irvine",strategic-business-management-microeconomics,28,4.75
Health Behavior Change: From Evidence to Action,Yale University,health-behavior-change,25,4.92
High Stakes Leadership: Leading in Times of Crisis,University of Michigan,high-stakes-leadership,25,4.76
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",countering-terror-violent-extremism,24,4.83
Introduction to Social Media Marketing,Facebook,social-media-marketing-introduction,22,4.68
Project Planning,"University of California, Irvine",project-planning-1,20,4.35
Write Your First Novel,Michigan State University,write-your-first-novel,20,3.85
Natural Language Processing with Attention Models,DeepLearning.AI,attention-models-in-nlp,19,3.11
Project Execution,"University of California, Irvine",project-execution,18,3.72
Introduction to Data Analytics,IBM,introduction-to-data-analytics,13,4.69
Career 911: Your Future Job in Medicine and Healthcare,Northwestern University,healthcarejobs,11,4.27
Fundamentals of Machine Learning for Healthcare,Stanford University,fundamental-machine-learning-healthcare,9,4.89
Fundamentals of Finance,University of Pennsylvania,finance-fundamentals,9,3.89
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,accounting-data-analytics-python,8,3.5
Removing Barriers to Change,University of Pennsylvania,removing-barriers-to-change,8,5.0
COVID-19 Contact Tracing For Nursing Professionals,University of Houston,covid-19-contact-tracing-for-nursing-professionals,7,4.43
Spanish for Successful Communication in Healthcare Settings,Rice University,spanish-in-healthcare-settings,6,4.0
The Business of Product Management I,Advancing Women in Product,the-business-of-product-management-one,5,4.6
Social Work Practice: Advocating Social Justice and Change,University of Michigan,social-work-practice-advocating-social-justice-and-change,5,4.8
How to Manage a Remote Team,GitLab,remote-team-management,4,5.0
Epigenetic Control of Gene Expression,The University of Melbourne,epigenetics,2,1.0
Entreprise et changement climatique,ESSEC Business School,entreprise-changement-climatique,2,5.0
Curanderismo: Traditional Healing Using Plants,University of New Mexico,curanderismo-plants,2,1.0
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,entrepreneurship-strategy,2,1.0
Introduction to Healthcare,Stanford University,intro-to-healthcare,2,4.0
Social and Economic Networks:  Models and Analysis,Stanford University,social-economic-networks,2,1.0
Building Modern Python Applications on AWS,Amazon Web Services,building-modern-python-applications-on-aws,1,5.0
