course_name,institution,course_id,num_reviews,avg_rating
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,cloud-infrastructure-design-process,445,4.59
Code Yourself! An Introduction to Programming,The University of Edinburgh,intro-programming,444,4.72
Introduction to International Criminal Law,Case Western Reserve University,international-criminal-law,440,4.78
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,aulaconstructivista,439,4.88
Medical Neuroscience,Duke University,medical-neuroscience,439,4.88
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",principles-of-macroeconomics,438,4.57
"Brand Management: Aligning Business, Brand and Behaviour",London Business School,brand,436,4.77
Business English: Networking,University of Washington,business-english-intro,435,4.74
How Things Work: An Introduction to Physics,University of Virginia,how-things-work,434,4.73
Introduction to Genomic Technologies,Johns Hopkins University,introduction-genomics,434,4.45
Corporate Finance Essentials,IESE Business School,corporate-finance-essentials,434,4.82
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,neuromarketing,434,4.59
Miracles of Human Language: An Introduction to Linguistics,Universiteit Leiden,human-language,432,4.63
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,modern-world,431,4.78
Introduction to Operations Management,University of Pennsylvania,wharton-operations,430,4.25
Classical Sociological Theory,University of Amsterdam,classical-sociological-theory,430,4.84
Excel aplicado a los negocios (Nivel Avanzado),Universidad Austral,excel-aplicado-negocios-avanzado,429,4.61
Accounting Analytics,University of Pennsylvania,accounting-analytics,426,4.35
Guitar for Beginners,Berklee College of Music,guitar,425,4.67
Front-End Web Development with React,The Hong Kong University of Science and Technology,front-end-react,420,4.49
Everyday Parenting: The ABCs of Child Rearing,Yale University,everyday-parenting,417,4.9
Search Engine Optimization Fundamentals,"University of California, Davis",seo-fundamentals,412,4.69
Design and Interpretation of Clinical Trials,Johns Hopkins University,clinical-trials,409,4.7
Social Psychology,Wesleyan University,social-psychology,408,4.54
Managing the Company of the Future,London Business School,company-future-management,403,4.72
Introduction to Web Development,"University of California, Davis",web-development,402,4.54
Introduction to Sustainability,University of Illinois at Urbana-Champaign,sustainability,402,4.7
Positive Psychology: Resilience Skills,University of Pennsylvania,positive-psychology-resilience,400,4.86
Réussir le Changement,ESSEC Business School,reussir-le-changement,398,4.38
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,global-sustainable-development,396,4.7
Learning to Teach Online,UNSW Sydney (The University of New South Wales),teach-online,394,4.59
Introduction to Environmental Law and Policy,The University of North Carolina at Chapel Hill,environmental-law,389,4.83
The Addicted Brain,Emory University,addiction-and-the-brain,389,4.5
Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,neurobiology,388,4.87
Music Business Foundations,Berklee College of Music,music-business-foundations,386,4.83
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",people-management,386,4.55
Autism Spectrum Disorder,"University of California, Davis",autism-spectrum-disorder,386,4.56
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),nutrition-pregnancy,382,4.72
Foundations of Business Strategy,University of Virginia,uva-darden-foundations-business-strategy,379,4.77
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,competencias-digitales-ofimatica,378,4.48
Democracia y decisiones públicas. Introducción al análisis de políticas públicas,Universitat Autònoma de Barcelona,democracia,378,4.84
Financial Engineering and Risk Management Part I,Columbia University,financial-engineering-1,378,4.32
Machine Learning for Business Professionals,Google Cloud,machine-learning-business-professionals,377,4.28
Introduction aux Droits de l’Homme,University of Geneva,droits-de-lhomme,374,4.84
The Art of Music Production,Berklee College of Music,producing-music,373,4.8
Tricky American English Pronunciation,"University of California, Irvine",tricky-american-english-pronunciation,369,4.61
Version Control with Git,Atlassian,version-control-with-git,369,4.7
"Sequences, Time Series and Prediction",DeepLearning.AI,tensorflow-sequences-time-series-and-prediction,367,4.3
Positive Psychology: Applications and Interventions,University of Pennsylvania,positive-psychology-applications,365,4.72
Moralities of Everyday Life,Yale University,moralities,363,4.78
"Social Norms, Social Change I",Unicef,norms,362,4.58
"Python Functions, Files, and Dictionaries",University of Michigan,python-functions-files-dictionaries,362,4.73
Introduction to Mathematical Thinking,Stanford University,mathematical-thinking,362,4.74
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,python-statistics-financial-analysis,357,4.18
Spanish Vocabulary: Meeting People,"University of California, Davis",spanish-vocabulary-meeting-people,357,4.39
Model Thinking,University of Michigan,model-thinking,353,4.75
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",c-for-everyone,350,4.13
Greek and Roman Mythology,University of Pennsylvania,mythology,346,4.75
Fashion as Design,The Museum of Modern Art,fashion-design,343,4.75
Positive Psychiatry and Mental Health,The University of Sydney,positive-psychiatry,342,4.72
Magic in the Middle Ages,Universitat de Barcelona,magic-middle-ages,342,4.51
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,becoming-a-veterinarian,342,4.73
The Global Financial Crisis,Yale University,global-financial-crisis,341,4.83
International Leadership and Organizational Behavior,Università Bocconi,organizational-behavior,339,4.77
Supporting children with difficulties in reading and writing,University of London,dyslexia-difficulties,338,4.73
Feminism and Social Justice,"University of California, Santa Cruz",feminism-social-justice,335,4.62
The Truth About Cats and Dogs,The University of Edinburgh,cats-and-dogs,334,4.72
Marketing Digital,Universidade de São Paulo,estrategia-marketing-digital,332,4.65
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,correccion-estilo-variaciones,332,4.72
Microeconomics Principles,University of Illinois at Urbana-Champaign,microeconomics,331,4.81
Introduction to C# Programming and Unity,University of Colorado System,introduction-programming-unity,331,4.62
"Programming Languages, Part A",University of Washington,programming-languages,330,4.9
Big History: Connecting Knowledge,Macquarie University,big-history,328,4.76
Financial Accounting Fundamentals,University of Virginia,uva-darden-financial-accounting,325,4.8
Introduction to Public Speaking,University of Washington,public-speaking,324,4.77
Nanotechnology: A Maker’s Course,Duke University,nanotechnology,324,4.79
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,painting,322,4.89
Fundamentals of Scalable Data Science,IBM,ds,320,3.94
Financing and Investing in Infrastructure,Università Bocconi,infrastructure-investing,320,4.83
Clinical Terminology for International and U.S. Students,University of Pittsburgh,clinical-terminology,317,4.78
Using Python to Interact with the Operating System,Google,python-operating-system,315,4.33
Mind Control: Managing Your Mental Health During COVID-19,University of Toronto,manage-health-covid-19,315,4.33
Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,gcp-exploring-preparing-data-bigquery,313,4.44
Industrial IoT on Google Cloud Platform,Google Cloud,iiot-google-cloud-platform,312,4.27
Six Sigma and the Organization (Advanced),University System of Georgia,six-sigma-organization-advanced,310,4.63
COVID-19: What You Need to Know (CME Eligible),Osmosis,covid-19-what-you-need-to-know,310,4.43
Engineering Project Management: Initiating and Planning,Rice University,initiating-planning,308,4.66
Mathematical Thinking in Computer Science,University of California San Diego,what-is-a-proof,307,4.18
Creative Problem Solving,University of Minnesota,creative-problem-solving,306,4.14
Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology,c-plus-plus-white,305,4.7
Information Security: Context and Introduction,"Royal Holloway, University of London",information-security-data,303,4.61
Children's Human Rights - An Interdisciplinary Introduction,University of Geneva,childrens-rights,301,4.59
Introduction to Calculus,The University of Sydney,introduction-to-calculus,300,4.79
The Science of Success: What Researchers Know that You Should Know,University of Michigan,success,299,4.73
Improving Communication Skills,University of Pennsylvania,wharton-communication-skills,299,4.65
Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,ecology-conservation,296,4.76
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,cs-fundamentals-1,296,4.5
Finance for Non-Finance Professionals,Rice University,finance-for-non-finance,296,4.78
Understanding Plants - Part I: What a Plant Knows,Tel Aviv University,plantknows,294,4.8
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,bioinformatics,293,4.03
Introduction to Git and GitHub,Google,introduction-git-github,293,4.56
Drug Discovery,University of California San Diego,drug-discovery,292,4.47
Practical Time Series Analysis,The State University of New York,practical-time-series-analysis,291,4.44
Introduction to Electronics,Georgia Institute of Technology,electronics,289,4.61
Politics and Economics of International Energy,Sciences Po,global-energy,288,4.69
Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,theropods-birds,286,4.9
Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,fundamentals-of-reinforcement-learning,285,4.6
Verb Tenses and Passives,"University of California, Irvine",verb-passives,282,4.69
Introduction to Molecular Spectroscopy,University of Manchester   ,spectroscopy,281,4.48
Getting Started with Go,"University of California, Irvine",golang-getting-started,278,4.36
Machine Learning for All,University of London,uol-machine-learning-for-all,276,4.43
Supply Chain Principles,Georgia Institute of Technology,supply-chain-principles,276,4.5
Kotlin for Java Developers,JetBrains,kotlin-for-java-developers,275,4.49
Innovation Management,Erasmus University Rotterdam,innovation-management,275,4.6
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,neuroscience-neuroimaging,274,4.59
Renewable Energy and Green Building Entrepreneurship,Duke University,renewable-energy-entrepreneurship,273,4.62
Introduction to G Suite,Google Cloud,introduction-g-suite,272,4.55
Developing Your Musicianship,Berklee College of Music,develop-your-musicianship,272,4.83
Industrial Biotechnology,University of Manchester   ,industrial-biotech,271,4.48
Communication Strategies for a Virtual Age,University of Toronto,communication-strategies-virtual-age,270,4.59
Introduction to Forensic Science,"Nanyang Technological University, Singapore",forensic-science,270,4.81
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,teamwork-skills-effective-communication,270,4.54
Personal & Family Financial Planning,University of Florida,family-planning,268,4.49
"The Modern World, Part Two: Global History since 1910",University of Virginia,modern-world-2,265,4.77
Creative Thinking: Techniques and Tools for Success,Imperial College London,creative-thinking-techniques-and-tools-for-success,264,4.47
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,neuroeconomics,263,4.59
Drug Development,University of California San Diego,drug-development,262,4.45
Getting Started with SAS Programming,SAS,sas-programming-basics,261,4.85
Managing as a Coach,"University of California, Davis",managing-as-a-coach,261,4.72
Introduction to Self-Driving Cars,University of Toronto,intro-self-driving-cars,259,4.56
"Cybersecurity Roles, Processes & Operating System Security",IBM,cybersecurity-roles-processes-operating-system-security,259,4.25
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,epidemic-pandemic-outbreak,258,4.59
Economics of Money and Banking,Columbia University,money-banking,256,4.88
Object-Oriented Design,University of Alberta,object-oriented-design,256,4.5
Understanding and Visualizing Data with Python,University of Michigan,understanding-visualization-data,254,4.48
Global Diplomacy: the United Nations in the World,University of London,global-diplomacy-un,252,4.65
A Law Student's Toolkit,Yale University,law-student,251,4.65
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,epidemiology-tools,248,4.42
Data Management for Clinical Research,Vanderbilt University,clinical-data-management,248,4.72
Introduction to Blockchain Technologies,INSEAD,introduction-blockchain-technologies,245,4.65
Introduction to Genetics and Evolution,Duke University,genetics-evolution,245,4.83
The Power of Microeconomics: Economic Principles in the Real World,"University of California, Irvine",principles-of-microeconomics,245,4.6
Global Environmental Management,Technical University of Denmark (DTU),global-environmental-management,245,4.64
Solar Energy Basics,The State University of New York,solar-energy-basics,244,4.65
Success,University of Pennsylvania,wharton-success,244,4.89
The Science of Stem Cells,American Museum of Natural History,stem-cells,244,4.66
Public Policy Challenges of the 21st Century,University of Virginia,public-policy,243,4.53
Global Financial Markets and Instruments,Rice University,global-financial-markets-instruments,242,4.28
The Horse Course: Introduction to Basic Care and Management,University of Florida,horse-care,241,4.9
Computational Thinking for Problem Solving,University of Pennsylvania,computational-thinking-problem-solving,237,4.59
Gut Check: Exploring Your Microbiome,University of Colorado Boulder,microbiome,236,4.72
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,wharton-fintech-overview-payments-regulations,236,4.52
Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,anticorrupcion-introduccion,226,4.76
International Organizations Management,University of Geneva,international-organizations-management,225,4.77
Probability and Statistics: To p or not to p?,University of London,probability-statistics,223,4.52
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,wharton-launching-startup,218,4.77
The Technology of Music Production,Berklee College of Music,technology-of-music-production,217,4.84
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,aws-fundamentals-addressing-security-risk,216,4.16
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,human-needs,216,4.28
Continuous Delivery & DevOps,University of Virginia,uva-darden-continous-delivery-devops,213,4.52
Leadership in 21st Century Organizations,Copenhagen Business School,leadership-21st-century,211,4.72
Essentials of Global Health,Yale University,essentials-global-health,211,4.82
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,philosophy-cognitive-sciences,209,4.53
Bugs 101: Insect-Human Interactions,University of Alberta,bugs-101,208,4.95
UX Design Fundamentals,California Institute of the Arts,ux-design-fundamentals,207,4.72
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,preparing-cloud-associate-cloud-engineer-exam,204,4.46
Smart Cities – Management of Smart Urban Infrastructures,École Polytechnique Fédérale de Lausanne,smart-cities,203,4.57
Schizophrenia,Wesleyan University,schizophrenia,201,4.68
Building Conversational Experiences with Dialogflow,Google Cloud,conversational-experiences-dialogflow,200,4.12
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,autodesk-autocad-design-drafting,199,4.57
Introduction to English Common Law,University of London,intro-common-law,198,4.79
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,social-impact,196,4.83
International Women's Health and Human Rights,Stanford University,womens-health-human-rights,195,4.86
Rethinking International Tax Law,Universiteit Leiden,international-taxation,194,4.84
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,actualizacion-manejo-diabetes-tipo-2,193,4.81
Sustainable Tourism – promoting environmental public health,University of Copenhagen,sustainable-tourism,193,4.39
Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,anatomy403-1x,192,4.76
Summary Statistics in Public Health,Johns Hopkins University,summary-statistics,191,4.75
Biohacking Your Brain's Health,Emory University,biohacking-your-brains-health,191,4.65
Introduction to Dental Medicine,University of Pennsylvania,dental-medicine-penn,191,4.85
Process Mining: Data science in Action,Eindhoven University of Technology,process-mining,190,4.67
Econometrics: Methods and Applications,Erasmus University Rotterdam,erasmus-econometrics,189,4.43
Natural Language Processing with Classification and Vector Spaces,DeepLearning.AI,classification-vector-spaces-in-nlp,186,4.08
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,recruiting-hiring-onboarding-employees,186,3.82
Sports and Society,Duke University,sports-society,186,4.87
Improving your statistical inferences,Eindhoven University of Technology,statistical-inferences,183,4.88
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,revisao-sistematica,183,4.8
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,data-lakes-data-warehouses-gcp,180,4.51
Healing with the Arts,University of Florida,healing-with-the-arts,179,4.65
Managing an Agile Team,University of Virginia,uva-darden-agile-team-management,177,4.63
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,trunk-anatomy,177,4.75
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,google-cloud-java-spring,174,3.91
Making Architecture,IE School of Architecture & Design,making-architecture,173,4.77
Devenir entrepreneur du changement,HEC Paris,entrepreneur-changement,172,4.74
Introduction to User Experience Principles and Processes,University of Michigan,introtoux-principles-and-processes,172,4.74
Arts and Heritage Management,Università Bocconi,arts-heritage,171,4.78
What Is Contemporary Art?,The Museum of Modern Art,contemporary-art,171,4.59
International Humanitarian Law in Theory and Practice,Universiteit Leiden,international-humanitarian-law,170,4.82
Songwriting: Writing the Lyrics,Berklee College of Music,songwriting-lyrics,170,4.74
Sports Marketing,Northwestern University,sports-marketing,169,4.64
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,international-law-in-action,169,4.74
English Composition I,Duke University,english-composition,167,4.54
AI for Medical Diagnosis,DeepLearning.AI,ai-for-medical-diagnosis,167,4.39
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,information-systems-audit,166,4.6
Computational Neuroscience,University of Washington,computational-neuroscience,165,4.5
Introduction to Machine Learning,Duke University,machine-learning-duke,164,4.6
IBM Customer Engagement Specialist Professional Certificate,IBM,ibm-customer-engagement-specialist,164,4.79
Business Transformation with Google Cloud,Google Cloud,business-transformation-google-cloud,164,4.69
Fundamentals of Immunology: Innate Immunity and B-Cell Function,Rice University,immunologyfundamentalsimmunitybcells,164,4.7
"Everyday Excel, Part 1",University of Colorado Boulder,everyday-excel-part-1,164,4.57
Leading Healthcare Quality and Safety,The George Washington University,quality-healthcare,163,4.78
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,finding-purpose-and-meaning-in-life,163,4.64
Getting Started With Music Theory,Michigan State University,music-theory,162,4.19
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,advanced-valuation-and-strategy,162,4.52
Everyday Chinese Medicine,The Chinese University of Hong Kong,everyday-chinese-medicine,161,4.69
Introduction to Portfolio Construction and Analysis with Python,EDHEC Business School,introduction-portfolio-construction-python,159,4.72
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",UNSW Sydney (The University of New South Wales),transmedia-storytelling,156,4.69
Introduction to Chemistry:  Reactions and Ratios,Duke University,intro-chemistry,154,4.81
Weight Management: Beyond Balancing Calories,Emory University,weight-management-beyond-balancing-calories,152,4.7
Getting Started with Google Sheets,Google Cloud,getting-started-with-google-sheets,150,4.49
Effective Business Presentations with Powerpoint,PwC,powerpoint-presentations,149,4.57
Troubleshooting and Debugging Techniques,Google,troubleshooting-debugging-techniques,148,4.11
Cybersecurity Compliance Framework & System Administration,IBM,cybersecurity-compliance-framework-system-administration,147,4.44
Chemicals and Health,Johns Hopkins University,chemicals-health,146,4.73
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,preparing-cloud-professional-cloud-architect-exam,146,4.4
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,medical-research,141,4.87
Customer Segmentation and Prospecting,Northwestern University,customer-segmentation-prospecting,141,4.69
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,introduction-statistics-data-analysis-public-health,141,4.67
Systems Thinking In Public Health,Johns Hopkins University,systems-thinking,139,4.5
Get Interactive: Practical Teaching with Technology,University of London,getinmooc,139,4.73
Electric Industry Operations and Markets,Duke University,electricity,139,4.63
Drug Commercialization,University of California San Diego,drug-commercialization,139,4.58
Sample-based Learning Methods,Alberta Machine Intelligence Institute,sample-based-learning-methods,137,4.43
European Business Law: Understanding the Fundamentals,Lund University,european-law-fundamentals,137,4.7
Advertising and Society,Duke University,role-of-advertising,137,4.8
Rédaction de contrats,University of Geneva,contrats,136,4.84
Foundations for Big Data Analysis with SQL,Cloudera,foundations-big-data-analysis-sql,135,4.79
Site Reliability Engineering: Measuring and Managing Reliability,Google Cloud,site-reliability-engineering-slos,135,4.09
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,clinicalsimulations,133,4.78
Introduction to Computer Programming,University of London,introduction-to-computer-programming,131,3.86
Corporate Strategy,UCL School of Management,corporatestrategy,129,4.87
Fundamentals of Engineering Exam Review,Georgia Institute of Technology,fe-exam,125,4.36
"Introduction to Trading, Machine Learning & GCP",New York Institute of Finance,introduction-trading-machine-learning-gcp,125,3.38
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,big-data-essentials,123,3.5
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,design-strategy,122,4.58
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,wharton-cryptocurrency-blockchain-introduction-digital-currency,121,4.47
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,investment-management,121,4.46
Research Data Management and Sharing,The University of Edinburgh,data-management,120,4.67
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,truthinourbones-osteoarchaeology-archaeology,117,4.56
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,ux-ui-design-de-interface,117,4.31
Building Batch Data Pipelines on GCP,Google Cloud,batch-data-pipelines-gcp,114,4.18
Roman Architecture,Yale University,roman-architecture,113,4.83
Diversity and inclusion in the workplace,ESSEC Business School,diversity-inclusion-workplace,112,4.63
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,addiction-treatment,110,4.91
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,gender-sexuality,110,4.62
Discrete Optimization,The University of Melbourne,discrete-optimization,109,4.82
Digital Business Models,Lund University,digital-business-models,108,4.49
Cost and Economics in Pricing Strategy,BCG,uva-darden-bcg-pricing-strategy-cost-economics,108,4.8
EMT Foundations,University of Colorado System,emt-foundations,106,4.82
What is Compliance?,University of Pennsylvania,what-is-compliance,106,4.77
Introduction to Embedded Systems Software and Development Environments,University of Colorado Boulder,introduction-embedded-systems,105,4.25
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",the-cycle,104,4.86
Financial Acumen for Non-Financial Managers,University of Pennsylvania,finance-healthcare-managers,103,4.23
Hypothesis-Driven Development,University of Virginia,uva-darden-agile-testing,101,4.48
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",mcmc-bayesian-statistics,100,4.74
FinTech Law and Policy,Duke University,fintechlawandpolicy,100,4.82
Sustainable Fashion,Copenhagen Business School,sustainable-fashion,100,4.82
Understanding International Relations Theory,National Research University Higher School of Economics,international-relations-theory,99,4.57
Global Energy and Climate Policy,University of London,globalenergyandclimatepolicy,99,4.61
Développement psychologique de l'enfant,University of Geneva,enfant-developpement,98,4.92
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",wine,98,4.49
Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,corporate-commercial-law-part1,95,4.82
American Contract Law I,Yale University,contracts-1,94,4.84
More Introduction to Financial Accounting,University of Pennsylvania,wharton-financial-accounting,92,4.8
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,nand2tetris2,91,4.96
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,crash-course-in-causality,91,4.62
