course_name,enrrollment_count,course_type,institution,instructors,course_level,course_subject,language,subtitles,avg_course_effort,duration_in_weeks,course_price,verified_certificate_price
"Hollywood: History, Industry, Art",50033,Self-paced on your time,University of Pennsylvania,['Peter Decherney'],Introductory,Communication,English,['English'],3.5,4,Free,169.0
Data Science Tools,15627,Self-paced on your time,IBM,"['Romeo Kienzler', 'Svetlana Levitan', 'Maureen McElaney']",Introductory,Data Analysis & Statistics,English,['English'],5.0,7,Free,39.0
Statistical Thinking for Data Science and Analytics,198861,Self-paced on your time,Columbia University,"['Andrew Gelman', 'David Madigan', 'Lauren Hannah', 'Eva Ascarza']",Introductory,Computer Science,English,['English'],8.5,5,Free,99.0
Philosophy and Critical Thinking,97175,Self-paced on your time,The University of Queensland,"['Professor Deborah Brown', 'Dr Peter Ellerton']",Introductory,Humanities,English,['English'],2.5,6,Free,99.0
International Law,91868,Self-paced on your time,Université catholique de Louvain,['Pierre d’Argent'],Advanced,Law,English,['English'],7.0,12,Free,150.0
Tourism and Travel Management,38503,Self-paced on your time,The University of Queensland,"['Sara Dolnicar', 'Sally Driml', 'Sheranne Fairley', 'Karen Hughes']",Introductory,Business & Management,English,['English'],2.5,7,Free,5.0
Project Management Life Cycle,120019,Self-paced on your time,Rochester Institute of Technology,['Leonie Fernandes'],Intermediate,Business & Management,English,['English'],10.0,10,Free,150.0
Solar Energy,125069,Self-paced on your time,Delft University of Technology,['Arno Smets'],Introductory,Engineering,English,['English'],7.0,8,Free,50.0
Public Speaking,10129,Self-paced on your time,Rochester Institute of Technology,['Keith B. Jenkins'],Introductory,Communication,English,['English'],5.0,3,Free,199.0
Japanese Pronunciation for Communication,62757,Self-paced on your time,Waseda University,['Takako Toda'],Introductory,Communication,日本語,"['English', ' 日本語', ' 한국어', ' 中文']",4.0,5,Free,99.0
Mindfulness and Resilience to Stress at Work,33414,Self-paced on your time,"University of California, Berkeley","['Dacher Keltner', 'Emiliana Simon', 'Thomas']",Introductory,Business & Management,English,['English'],1.5,4,Free,199.0
Framing Your Communication to Inspire and Convince,49351,Self-paced on your time,Delft University of Technology,"['Hans de Bruijn', 'Jet Pagnier']",Intermediate,Business & Management,English,['English'],4.5,5,Free,125.0
Business Foundations,55154,Self-paced on your time,University of British Columbia,['Elicia Salzberg'],Introductory,Business & Management,English,['English'],4.0,6,Free,150.0
The Chemistry of Life,78704,Self-paced on your time,Kyoto University,['Motonari Uesugi'],Introductory,Biology & Life Sciences,English,['English'],2.5,13,Free,49.0
Nutrition and Health: Micronutrients and Malnutrition,78266,Self-paced on your time,Wageningen University & Research,"['Sander Kersten', 'Alida Melse', 'Inge Brouwer', 'Guido Hooiveld']",Intermediate,Biology & Life Sciences,English,['English'],7.0,7,Free,99.0
Digital Design,12339,Self-paced on your time,The Hong Kong University of Science and Technology,"['Ravindra Goonetilleke', 'Sai', 'Kit Yeung']",Introductory,Design,English,['English'],5.5,5,Free,50.0
Machine Learning for Data Science and Analytics,140419,Self-paced on your time,Columbia University,"['Ansaf Salleb', 'Aouissi', 'Cliff Stein', 'David Blei', 'Itsik Peer']",Introductory,Computer Science,English,['English'],8.5,5,Free,99.0
The Science of Everyday Thinking,318399,Self-paced on your time,The University of Queensland,"['Emma MacKenzie', 'Jason Tangen', 'Matthew Thompson']",Introductory,Business & Management,English,['English'],2.5,12,Free,99.0
Gestion de projets de développement,41663,Self-paced on your time,Inter-American Development Bank,"['Gentile Senat', 'Vanessa Sayos del Castillo', 'Ernesto Mondelo']",Intermediate,Business & Management,Français,['Français'],3.5,10,Free,25.0
Product Management Fundamentals,11913,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",['James Green'],Introductory,Business & Management,English,['English'],2.5,4,Free,199.0
International Human Rights Law,74424,Self-paced on your time,Université catholique de Louvain,['Olivier De Schutter'],Advanced,Law,English,['English'],7.0,12,Free,150.0
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced on your time,SDG Academy,"['Hirokazu Yoshikawa', 'Jack Shonkoff', 'Aisha Yousafzai', 'Catherine Tamis', 'LeMonda']",Intermediate,Education & Teacher Training,English,"['اللغة العربية', ' English', ' Español', ' हिन्दी', ' Português']",3.0,8,Free,49.0
Data Science and Machine Learning Capstone Project,21809,Self-paced on your time,IBM,"['Sourav Mazumder', 'Linda Liu', 'Alex Aklson']",Intermediate,Data Analysis & Statistics,English,['English'],3.5,6,Free,99.0
"Data Science for Construction, Architecture and Engineering",11113,Self-paced on your time,The National University of Singapore,['Clayton Miller'],Introductory,Data Analysis & Statistics,English,['English'],5.0,7,Free,199.0
"Nutrition, Heart Disease and Diabetes",24986,Self-paced on your time,Wageningen University & Research,"['Marianne Geleijnse', 'Leanne Küpers', 'Dr. Marco Mensink']",Intermediate,Food & Nutrition,English,['English'],7.0,5,Free,99.0
Project Management for Development,62099,Self-paced on your time,Inter-American Development Bank,"['Claudia Baca', 'Ernesto Mondelo']",Intermediate,Business & Management,English,['English'],3.5,10,Free,49.0
Introduction to Cloud Infrastructure Technologies,86923,Self-paced on your time,The Linux Foundation,"['Chris Pokorni', 'Chip Childers', 'Neependra Khare']",Introductory,Computer Science,English,['English'],3.5,14,Free,169.0
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced on your time,Wageningen University & Research,"['Prof.dr.ir. Louise O. Fresco', 'Dr. Kim Poldner', 'Dr. Nishant Shah', 'Paulien Harmsen MSc']",Introductory,Art & Culture,English,['English'],5.0,5,Free,65.0
Machine Learning,150855,Instructor-led on a course schedule,Columbia University,['John W. Paisley'],Advanced,Computer Science,English,['English'],9.0,12,Free,249.0
Introducción a la gestión de proyectos,98517,Self-paced on your time,Universitat Politècnica de Valencia,['Alberto Palomares Chust'],Introductory,Business & Management,Español,['Español'],4.5,5,Free,50.0
Free Cash Flow Analysis,36085,Self-paced on your time,Columbia University,['Daniel Wolfenzon'],Introductory,Business & Management,English,['English'],3.5,5,Free,225.0
Lean Production,55926,Self-paced on your time,Technische Universität München,"['Martin Grunow', 'Holly Ott']",Introductory,Business & Management,English,['English'],3.5,6,Free,99.0
Introduction to Algebra,131197,Self-paced on your time,SchoolYourself,"['Zach Wissner', 'Gross', 'John Lee', 'Vivek Venkatachalam', 'Kenny Peng']",Introductory,Math,English,['English'],5.0,4,Free,139.0
"LaTeX for Students, Engineers, and Scientists",11823,Self-paced on your time,IITBombay,"['Deepak B. Phatak', 'Firuza Karmali (Aibara)', 'Nagesh Karmali']",Introductory,Engineering,English,['English'],3.5,7,Free,139.0
Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced on your time,Catalyst,"['Dnika J. Travis', 'Alixandra Pollack', 'Jeff Barth']",Introductory,Communication,English,['English'],1.5,4,Free,50.0
Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced on your time,The University of Michigan,['Kathleen Alsup'],Introductory,Biology & Life Sciences,English,['English'],2.5,4,Free,49.0
"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led on a course schedule,Universidades Anáhuac,"['Judith Margarete Towle Wachenheim', 'Isabel Rosado Richard', 'Jorge Ernesto Peniche Rosales', 'David John Phillips']",Introductory,Business & Management,English,"['English', ' Español']",6.5,4,Free,49.0
Business Strategy from Wharton: Competitive Advantage,26675,Self-paced on your time,The Wharton School of the University of Pennsylvania,['Nicolaj Siggelkow'],Intermediate,Business & Management,English,['English'],3.5,6,Free,199.0
Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced on your time,Universidades Anáhuac,"['Psic. Vanessa Arrigunaga Chico', 'Laura Villarreal González']",Introductory,Social Sciences,Español,['Español'],4.5,4,Free,49.0
Introducción al desarrollo de aplicaciones web,27757,Self-paced on your time,Universidad Autónoma de Madrid,"['Ruth Cobos Pérez', 'Álvaro Ortigosa', 'Roberto Latorre Camino']",Introductory,Computer Science,Español,['Español'],4.5,5,Free,49.0
"Six Sigma: Analyze, Improve, Control",56016,Self-paced on your time,Technische Universität München,"['Martin Grunow', 'Holly Ott']",Introductory,Business & Management,English,['English'],3.5,8,Free,99.0
Introducción a la inteligencia emocional,18830,Self-paced on your time,Universidades Anáhuac,"['Pped. Silvia Josefina Axle Echanove', 'Psic. Alejandro González Novelo', 'M.C. Jorge Carlos Hevia Orozco']",Introductory,Social Sciences,Español,['Español'],4.0,4,Free,49.0
AP® Microeconomics,53664,Self-paced on your time,Massachusetts Institute of Technology,['Jonathan Gruber'],Introductory,Economics & Finance,English,['English'],3.5,12,Free,49.0
Engineering Calculus and Differential Equations,21535,Self-paced on your time,University of Hong Kong,"['Kwok Wing Chow', 'Kai Man Tsang']",Introductory,Math,English,['English'],4.5,6,Free,50.0
Linear Algebra - Foundations to Frontiers,88570,Self-paced on your time,The University of Texas at Austin,"['Maggie Myers', 'Robert van de Geijn']",Intermediate,Computer Science,English,['English'],8.0,15,Free,49.0
Habilidades de negociación y comunicación efectiva,19614,Self-paced on your time,Tecnológico de Monterrey,"['Daniel Meade Monteverde', 'Luz María Vargas Reguer']",Introductory,Business & Management,Español,['Español'],6.5,4,Free,149.0
Effective Communication for Today's Leader,8862,Self-paced on your time,Tecnológico de Monterrey,['Carlos Alberto Tena Sánchez'],Intermediate,Business & Management,English,['English'],6.5,4,Free,149.0
Electric Cars: Technology,40972,Self-paced on your time,Delft University of Technology,"['Pavol Bauer', 'Auke Hoekstra', 'Gautham Ram', 'Marnix Wagemaker']",Intermediate,Engineering,English,['English'],4.5,4,Free,50.0
Site Planning Online,12948,Self-paced on your time,Massachusetts Institute of Technology,"['Gary Hack', 'Mary Anne Ocampo']",Intermediate,Design,English,['English'],5.0,10,Free,99.0
Macroeconometric Forecasting,69358,Self-paced on your time,The International Monetary Fund,"['Adolfo Barajas', 'Adina Popescu', 'Sam Ouliaris', 'Reda Cherif']",Intermediate,Economics & Finance,English,['English'],9.0,9,Free,25.0
Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced on your time,Inter-American Development Bank,"['Pedro Farias', 'Mariano Lafuente', 'Miguel Porrúa', 'Carlos Pimenta']",Introductory,Economics & Finance,Español,"['Español', ' Español']",3.5,10,Free,25.0
Fundamentals of Red Hat Enterprise Linux,53788,Self-paced on your time,Red Hat,['Ricardo da Costa'],Introductory,Computer Science,English,['English'],2.0,9,Free,99.0
Algorithms,61722,Self-paced on your time,IITBombay,"['Deepak B. Phatak', 'Nagesh Karmali', 'Ajit Diwan', 'Ganesh Ramakrishnan']",Intermediate,Computer Science,English,['English'],7.0,6,Free,149.0
Calculus Applied!,54976,Self-paced on your time,Harvard University,"['John Wesley Cain', 'Juliana Belding', 'Peter M. Garfield']",Intermediate,Math,English,['English'],4.5,10,Free,99.0
Precalculus,55576,Self-paced on your time,Arizona State University,"['Adrian Sannier', 'Sue McClure']",Intermediate,Math,English,['English'],9.5,15,Free,49.0
Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led on a course schedule,Universidad del Rosario,"['Felipe González', 'Ricardo Miguel Luque Bernal']",Introductory,Medicine,Español,['Español'],5.0,4,Free,49.0
Business Communications,60713,Self-paced on your time,University of British Columbia,['Marlisse Silver Sweeney'],Introductory,Business & Management,English,['English'],4.0,6,Free,150.0
Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced on your time,Wellesley College,"['Daniela Bartalesi', 'Graf']",Intermediate,Language,Italiano,['Italiano'],4.0,12,Free,49.0
International Women's Health and Human Rights,9796,Self-paced on your time,Stanford University,['Anne Firth Murray'],Introductory,Social Sciences,English,['English'],3.0,10,Free,50.0
Blockchain: Understanding Its Uses and Implications,66769,Self-paced on your time,The Linux Foundation,"['Ernesto Lee', 'Kris Bennett', 'Rosa Santos']",Introductory,Business & Management,English,['English'],2.5,14,Free,199.0
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced on your time,Imperial College London,"['Philip Ramsden', 'Phil Chaffe']",Intermediate,Math,English,['English'],3.0,7,Free,49.0
Blockchain Technology,55376,Self-paced on your time,"University of California, Berkeley","['Rustie Lin', 'Nadir Akhtar']",Intermediate,Computer Science,English,['English'],4.0,6,Free,99.0
Basics of Power BI,8314,Self-paced on your time,Rolls-Royce,['James Hallam'],Introductory,Data Analysis & Statistics,English,['English'],3.0,2,Free,49.0
Preparing to Network in English,34337,Self-paced on your time,University of Washington,"['Joel Ozretich', 'Richard Moore']",Introductory,Language,English,['English'],4.0,6,Free,149.0
Mandarin Chinese Essentials,36665,Self-paced on your time,MandarinX,['Estella Chen'],Introductory,Language,English,['English'],7.0,5,Free,99.0
Human Rights: The Rights of Refugees,84270,Self-paced on your time,Amnesty International,['Amnesty International'],Introductory,Humanities,English,['English'],4.0,3,Free,49.0
What do Architects and Urban Planners do?,11046,Self-paced on your time,Wits University,"['Ariane Janse van Rensburg', 'Mawabo Msingaphantsi', 'Ludwig Hansen', 'Johan N Prinsloo']",Introductory,Architecture,English,['English'],2.5,3,Free,49.0
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced on your time,Harvard University,['Thomas E. Patterson'],Introductory,Social Sciences,English,['English'],3.0,4,Free,49.0
Negotiation Skills and Effective Communication,8146,Self-paced on your time,Tecnológico de Monterrey,"['Luz María Vargas Reguer', 'Daniel Meade Monteverde']",Intermediate,Business & Management,English,['English'],6.5,4,Free,149.0
AP® English Literature & Composition – Part 1: Stories,15650,Self-paced on your time,"University of California, Berkeley",['Maggie Sokolik'],Introductory,Humanities,English,['English'],4.5,7,Free,49.0
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced on your time,IsraelX-Tel Aviv University,['Jonathan Gershoni'],Introductory,Medicine,English,['English'],2.5,7,Free,149.0
Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced on your time,Inter-American Development Bank,"['Bernardo Guillamón', 'Matías Bendersky', 'María Cortés Puch', 'Guido Schmidt', 'Traub']",Introductory,Social Sciences,Español,['English'],3.5,10,Free,25.0
Designing and Creating Skirts,13954,Self-paced on your time,The Hong Kong Polytechnic University,"['Tanya Dove', 'Kristina Shin', 'Jalice Cheng', 'Marco Rebora']",Introductory,Design,English,['English'],4.0,5,Free,99.0
Cómo Aprender Online,7958,Self-paced on your time,edX,"['Nina Huntemann', 'Robyn Belair', 'Ben Piscopo', 'Marina Pastor']",Introductory,Education & Teacher Training,Español,"['English', ' Español']",2.5,2,Free,49.0
Computing in Python II: Control Structures,31511,Self-paced on your time,The Georgia Institute of Technology,['David Joyner'],Introductory,Computer Science,English,['English'],9.5,5,Free,99.0
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced on your time,Universidad Galileo,"['Jojo Giuffra', 'Miguel Morales', 'Rocael Hernández']",Introductory,Communication,Español,['Español'],3.5,5,Free,49.0
Machine Learning Fundamentals,82008,Self-paced on your time,"The University of California, San Diego",['Sanjoy Dasgupta'],Advanced,Data Analysis & Statistics,English,['English'],9.0,10,Free,350.0
Pre-University Calculus,103224,Self-paced on your time,Delft University of Technology,"['Bart van den Dries', 'Roelof Koekoek', 'Wolter Groenevelt', 'Fokko van de Bult']",Introductory,Math,English,['English'],7.0,8,Free,50.0
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced on your time,Tsinghua University,"['Xia Ding', 'Xiaoning Wang', 'Li Lu', 'Yuan Li']",Introductory,Language,English,['English'],2.5,6,Free,49.0
Deep Learning with Python and PyTorch,36195,Self-paced on your time,IBM,['Joseph Santarcangelo'],Intermediate,Data Analysis & Statistics,English,['English'],3.0,6,Free,99.0
Diseña presentaciones eficaces con Powerpoint,36663,Self-paced on your time,Universitat Politècnica de Valencia,"['Miguel Ferrando Bataller', 'Ignacio Despujol', 'Linda Castañeda Quintero']",Introductory,Computer Science,Español,['Español'],7.0,3,Free,50.0
World of Wine: From Grape to Glass,81839,Self-paced on your time,University of Adelaide,"['Kerry Wilkinson', 'Cassandra Collins', 'David Jeffery', 'Paul Grbin']",Introductory,Science,English,['English'],2.5,6,Free,199.0
Sustainable Cities,16619,Self-paced on your time,SDG Academy,"['Aromar Revi', 'Joshua Castellino', 'Jeffrey D. Sachs', 'Susan Parnell']",Intermediate,Environmental Studies,English,"['English', ' हिन्दी']",5.0,9,Free,49.0
Introduction to Developmental Psychology,38060,Self-paced on your time,The University of Queensland,"['Blake McKimmie', 'Virginia Slaughter', 'Mark Nielsen', 'Nicole Nelson']",Introductory,Humanities,English,['English'],1.5,8,Free,99.0
Creativity & Entrepreneurship,69413,Self-paced on your time,Berklee College of Music,['Panos Panay'],Introductory,Business & Management,English,['English'],4.0,4,Free,49.0
College Algebra and Problem Solving,103010,Self-paced on your time,Arizona State University,"['Adrian Sannier', 'Sue McClure']",Introductory,Math,English,['English'],8.5,15,Free,49.0
Academic writing for clarity and meaning,16220,Self-paced on your time,Wits University,"['Peter Alkema', 'Nomusa Mazonde', 'Terri Carmichael']",Introductory,Education & Teacher Training,English,['English'],2.5,2,Free,49.0
Financial Development and Financial Inclusion,13853,Self-paced on your time,The International Monetary Fund,"['Ralph Chami', 'Sami Ben Naceur', 'Dyna Heng', 'Dmitriy Rozhkov']",Intermediate,Economics & Finance,English,['English'],9.0,7,Free,25.0
Global Public Health,17273,Self-paced on your time,SDG Academy,"['K. Srinath Reddy', 'Richard Cash', 'Vinod Paul', 'Rob Yates']",Intermediate,Health & Safety,English,['English'],5.0,10,Free,49.0
Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced on your time,The University of Texas at Austin,"['Jonathan Valvano', 'Ramesh Yerraballi']",Intermediate,Computer Science,English,['English'],9.0,8,Free,49.0
Introduction to Animal Behaviour,42135,Self-paced on your time,Wageningen University & Research,"['Marc Naguib', 'James Savage', 'Lysanne Snijders']",Introductory,Biology & Life Sciences,English,['English'],5.0,6,Free,49.0
Circular Economy: An Introduction,50240,Self-paced on your time,Delft University of Technology,"['Ken Webster', 'Conny Bakker', 'David Peck', 'Ester van der Voet']",Introductory,Business & Management,English,['English'],4.5,7,Free,50.0
Public Financial Management,23288,Self-paced on your time,The International Monetary Fund,['Staff of the Fiscal Affairs Department'],Intermediate,Economics & Finance,English,['English'],5.0,8,Free,25.0
Anatomy: Human Neuroanatomy,49319,Self-paced on your time,The University of Michigan,['Kelli A. Sullivan'],Introductory,Biology & Life Sciences,English,['English'],3.5,8,Free,49.0
Android: Introducción a la Programación,85786,Self-paced on your time,Universitat Politècnica de Valencia,['Jesús Tomás Gironés'],Introductory,Computer Science,Español,['Español'],4.5,10,Free,50.0
The Ancient Greek Hero,51744,Instructor-led on a course schedule,Harvard University,"['Gregory Nagy', 'Leonard Muellner', 'Kevin McGrath', 'Keith DeStone']",Introductory,Humanities,English,['English'],10.0,18,Free,99.0
Agile Leadership Principles and Practices,31838,Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",['John Johnson'],Advanced,Engineering,English,['English'],2.5,4,Free,199.0
How to Code: Simple Data,98113,Self-paced on your time,University of British Columbia,['Gregor Kiczales'],Introductory,Computer Science,English,['English'],2.5,7,Free,125.0
Cybersecurity and Privacy in the IoT,21440,Self-paced on your time,Curtin University,"['Iain Murray AM', 'Nazanin Mohammadi', 'Eleanor Sandry']",Introductory,Computer Science,English,['English'],5.0,5,Free,199.0
Strategic Management,71085,Self-paced on your time,Indian Institute of Management Bangalore,"['P D Jose', 'Rejie George Pallathita', 'Sai Yayavaram']",Introductory,Business & Management,English,"['English', ' हिन्दी']",4.0,5,Free,150.0
Introducción a la ciencia de datos y sus aplicaciones,7303,Self-paced on your time,IBM,['Alex Aklson'],Introductory,Data Analysis & Statistics,Español,['Español'],4.5,6,Free,39.0
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Instructor-led on a course schedule,Massachusetts Institute of Technology,"['Michael Yaffe', 'Mary Ellen Wiltrout', 'Darcy Gordon', 'Monika Avello']",Intermediate,Biology & Life Sciences,English,['English'],4.5,12,Free,150.0
Astronomía Virtual,10500,Self-paced on your time,Universidad Nacional de Córdoba,['Guillermo Goldes'],Introductory,Science,Español,"['English', ' Español']",6.0,7,Free,29.0
Nutrition and Cancer,27144,Self-paced on your time,Wageningen University & Research,"['Ellen Kampman', 'Fränzel van Duijnhoven', 'Dieuwertje Kok']",Intermediate,Food & Nutrition,English,['English'],7.0,5,Free,99.0
Build your very first iOS app,31570,Instructor-led on a course schedule,Curtin University,"['Dr David A. McMeekin', 'Tristan W. Reed']",Introductory,Computer Science,English,['English'],9.0,8,Free,149.0
Object-Oriented Programming,93633,Self-paced on your time,IITBombay,"['Deepak B. Phatak', 'Supratik Chakraborty', 'Nagesh Karmali', 'Firuza Karmali (Aibara)']",Introductory,Computer Science,English,['English'],7.0,4,Free,149.0
Introduction to Jenkins,7233,Self-paced on your time,The Linux Foundation,['Deepika Gautam'],Introductory,Computer Science,English,['English'],2.5,10,Free,199.0
Conducting an Informational Interview,15594,Self-paced on your time,University of Washington,"['Joel Ozretich', 'Richard Moore']",Introductory,Language,English,['English'],4.0,8,Free,99.0
Liderazgo y comportamiento organizacional,21419,Self-paced on your time,Tecnológico de Monterrey,['Elliott Kruse'],Introductory,Business & Management,Español,['Español'],6.5,4,Free,149.0
Creative Coding,18660,Instructor-led on a course schedule,New York University,['Kevin Siwoff'],Introductory,Design,English,['English'],9.0,14,Free,249.0
Análisis estadístico con Excel,22717,Self-paced on your time,Universidad Galileo,['Samuel Reyes Gómez'],Introductory,Data Analysis & Statistics,Español,['Español'],4.0,4,Free,49.0
Introducción a la Ingeniería del Software,17931,Self-paced on your time,Universidad Autónoma de Madrid,['Miren Idoia Alarcón Rodríguez'],Introductory,Computer Science,Español,['Español'],4.5,5,Free,49.0
Computer Graphics,98553,Self-paced on your time,"The University of California, San Diego",['Ravi Ramamoorthi'],Intermediate,Computer Science,English,"['English', ' 中文']",9.0,6,Free,99.0
Data Science: Computational Thinking with Python,78232,Self-paced on your time,"University of California, Berkeley","['Ani Adhikari', 'John DeNero', 'David Wagner']",Introductory,Computer Science,English,['English'],5.0,5,Free,199.0
Comunicación efectiva para el líder actual,18470,Self-paced on your time,Tecnológico de Monterrey,['Carlos Alberto Tena Sánchez'],Introductory,Communication,Español,['Español'],6.5,4,Free,149.0
Debate y argumentación,10954,Self-paced on your time,Universidad del Rosario,['Diego Fernando Duarte Leal'],Introductory,Humanities,Español,['Español'],5.0,4,Free,49.0
Deep Learning with Tensorflow,37564,Self-paced on your time,IBM,['Saeed Aghabozorgi'],Intermediate,Data Analysis & Statistics,English,['English'],3.0,5,Free,99.0
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155,Self-paced on your time,IBM,"['Saeed Aghabozorgi', 'Adrián Tozzi']",Introductory,Computer Science,Español,['Español'],5.0,5,Free,49.0
Essential Human Biology: Cells and Tissues,67961,Self-paced on your time,University of Adelaide,"['Mario Ricci', 'Rachel Gibson', 'Sophie Karanicolas', '\u200bCatherine Snelling']",Introductory,Medicine,English,['English'],2.5,5,Free,169.0
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720,Self-paced on your time,Tsinghua University,['Xiaohong Guan'],Intermediate,Communication,English,['English'],2.5,5,Free,49.0
Computing in Python III: Data Structures,27239,Self-paced on your time,The Georgia Institute of Technology,['David Joyner'],Introductory,Computer Science,English,['English'],9.5,5,Free,99.0
Introduction to Internet of Things (IoT),6703,Self-paced on your time,Rolls-Royce,['James Hallam'],Introductory,Data Analysis & Statistics,English,['English'],3.0,2,Free,49.0
Nutrition and Health: Food Risks,51493,Self-paced on your time,Wageningen University & Research,"['Ivonne M.C.M. Rietjens', 'Marcel H. Zwietering', 'Martine Reij', 'Jochem Louisse']",Introductory,Biology & Life Sciences,English,['English'],7.0,8,Free,49.0
Mechanics: Kinematics and Dynamics,35529,Self-paced on your time,Massachusetts Institute of Technology,"['Deepto Chakrabarty', 'Peter Dourmashkin', 'Anna Frebel', 'Analia Barrantes']",Intermediate,Physics,English,['English'],11.0,12,Free,49.0
Storytelling for Social Change,30313,Self-paced on your time,The University of Michigan,['Anita Gonzalez'],Introductory,Communication,English,['English'],2.0,5,Free,49.0
Introduction to Data Analytics for Managers,39113,Self-paced on your time,The University of Michigan,"['Amitabh Sinha', 'Sanjeev Kumar']",Introductory,Business & Management,English,['English'],3.0,6,Free,49.0
Qualitative Research Methods: Conversational Interviewing,21972,Self-paced on your time,Massachusetts Institute of Technology,"['Susan Silbey', 'Meghan Perdue']",Intermediate,Humanities,English,['English'],2.5,3,Free,49.0
International Project Management,45145,Self-paced on your time,Rochester Institute of Technology,"['Celine Gullace', 'Leonie Fernandes']",Advanced,Business & Management,English,['English'],10.0,9,Free,150.0
Software Development Fundamentals,51402,Self-paced on your time,University of Pennsylvania,['Arvind Bhusnurmath'],Intermediate,Computer Science,English,['English'],7.0,4,Free,149.0
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484,Self-paced on your time,Harvard University,['Thomas Forrest Kelly'],Introductory,Humanities,English,['English'],4.0,3,Free,49.0
Critical Thinking & Problem Solving,6558,Self-paced on your time,Rochester Institute of Technology,['Mike Johansson'],Introductory,Communication,English,['English'],5.0,3,Free,199.0
Data Analysis Essentials,42262,Self-paced on your time,Imperial College Business School-Imperial College London,"['David Lefevre', 'Catarina Sismeiro']",Introductory,Business & Management,English,['English'],5.0,6,Free,79.0
Master Control in Supply Chain Management and Logistics,31326,Self-paced on your time,Chalmers University of Technology,"['Per Olof Arnäs', 'Ola Hultkrantz']",Introductory,Business & Management,English,['English'],4.5,7,Free,49.0
Work and Employment for a Sustainable Future,6528,Self-paced on your time,SDG Academy,"['Jeffrey D. Sachs', 'Jeemol Unni', 'Martha Chen', 'Kailash Satyarthi']",Intermediate,Economics & Finance,English,['English'],3.0,6,Free,49.0
Foundations of Data Structures,54075,Self-paced on your time,IITBombay,"['Deepak B. Phatak', 'Nagesh Karmali', 'Ajit Diwan', 'Ganesh Ramakrishnan']",Intermediate,Computer Science,English,['English'],7.0,6,Free,149.0
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024,Self-paced on your time,The International Monetary Fund,"['Paolo Dudine', 'Adolfo Barajas', 'Eric Verreydt', 'Luisa Zanforlin']",Intermediate,Economics & Finance,English,['English'],9.0,6,Free,25.0
IoT System Design: Software and Hardware Integration,13608,Self-paced on your time,Waseda University,"['Keiji Kimura', 'Nozomu Togawa', 'Yoshio Miki']",Intermediate,Computer Science,English,['English'],5.0,4,Free,99.0
English for Doing Business in Asia – Writing,44252,Self-paced on your time,The Hong Kong University of Science and Technology,"['Sean McMinn', 'Delian Gaskell']",Introductory,Humanities,English,['English'],3.5,7,Free,60.0
Working in Teams: A Practical Guide,43981,Self-paced on your time,The University of Queensland,"['Lydia Kavanagh', 'David Neil']",Introductory,Humanities,English,['English'],7.0,4,Free,49.0
Introducción a los encofrados y las cimbras en obra civil y edificación,16029,Self-paced on your time,Universitat Politècnica de Valencia,['Víctor Yepes Piqueras'],Introductory,Engineering,Español,['Español'],2.5,4,Free,50.0
AI Chatbots without Programming,35440,Self-paced on your time,IBM,['Antonio Cangiano'],Introductory,Computer Science,English,['English'],3.0,2,Free,99.0
Introducción a la Ciencia de Datos y el Big Data,16268,Self-paced on your time,Tecnológico de Monterrey,['Jesús Aguilar'],Intermediate,Data Analysis & Statistics,Español,['Español'],4.0,4,Free,49.0
Just Money: Banking as if Society Mattered,25553,Self-paced on your time,Massachusetts Institute of Technology,"['J. Phillip Thompson', 'Lily Steponaitis', 'Katrin Kaeufer', 'Alice Maggio']",Introductory,Business & Management,English,['English'],3.5,16,Free,49.0
Introducción a R,6431,Self-paced on your time,Universidades Anáhuac,"['César Iván Cobos May', 'Víctor Cruz Morales']",Introductory,Data Analysis & Statistics,Español,['Español'],6.5,4,Free,49.0
