course_name,enrrollment_count,course_type,institution,instructors,course_level,course_subject,language,subtitles,avg_course_effort,duration_in_weeks,course_price,verified_certificate_price
Data Science: R Basics,528782,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],1.5,8,Free,49.0
Python Basics for Data Science,228809,Self-paced on your time,IBM,['Joseph Santarcangelo'],Introductory,Data Analysis & Statistics,English,['English'],3.5,5,Free,39.0
The Science of Beer,39085,Self-paced on your time,Wageningen University & Research,"['Sander Breevaart', 'Florence Scherer', 'Nico van der Veen', 'Esther Kunst']",Introductory,Food & Nutrition,English,['English'],3.0,6,Free,49.0
Strategic Social Media Marketing,103640,Instructor-led on a course schedule,Boston University,['Barbara Bickart'],Advanced,Business & Management,English,['English'],5.0,6,Free,399.0
CS50's Introduction to Artificial Intelligence with Python,258006,Self-paced on your time,Harvard University,"['David J. Malan', 'Brian Yu']",Introductory,Computer Science,English,['English'],20.0,7,Free,199.0
CS50's Introduction to Game Development,346748,Self-paced on your time,Harvard University,"['David J. Malan', 'Colton Ogden']",Intermediate,Computer Science,English,['English'],7.5,12,Free,149.0
Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Self-paced on your time,Harvard University,['James Engell'],Introductory,Humanities,English,['English'],2.5,8,Free,99.0
CS50's Web Programming with Python and JavaScript,698950,Self-paced on your time,Harvard University,"['David J. Malan', 'Brian Yu']",Intermediate,Computer Science,English,['English'],7.5,12,Free,90.0
Contract Law: From Trust to Promise to Contract,414181,Self-paced on your time,Harvard University,['Charles Fried'],Intermediate,Business & Management,English,['English'],4.5,8,Free,125.0
"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Self-paced on your time,Harvard University,['David Cox'],Introductory,Biology & Life Sciences,English,['English'],4.0,5,Free,99.0
Justice,392588,Self-paced on your time,Harvard University,['Michael J. Sandel'],Introductory,Humanities,English,"['Deutsch', ' English', ' Español', ' Português', ' 中文']",4.5,12,Free,99.0
Data Science: Machine Learning,276209,Self-paced on your time,Harvard University,['Rafael Irizarry'],Introductory,Data Analysis & Statistics,English,['English'],3.0,8,Free,49.0
Child Protection: Children's Rights in Theory and Practice,212453,Self-paced on your time,Harvard University,['Jacqueline Bhabha'],Introductory,Social Sciences,English,['English'],4.0,16,Free,99.0
IELTS Academic Test Preparation,1103777,Self-paced on your time,The University of Queensland,"['Iain Mathieson', 'Martin Dutton', 'Megan Yucel', 'Stephen Walker']",Introductory,Communication,English,['English'],7.5,8,Free,99.0
The Architectural Imagination,406181,Self-paced on your time,Harvard University,"['Lisa Haber', 'Thomson', 'K. Michael Hays', 'Erika Naginski', 'Antoine Picon']",Introductory,Architecture,English,['English'],4.0,10,Free,99.0
TOEFL® Test Preparation: The Insider’s Guide,1022489,Self-paced on your time,Educational Testing Service,"['Michael Knab', 'Cynthia Newman', 'Shawn Gorman', 'Molly Palmer']",Introductory,Communication,English,['English'],3.0,6,Free,49.0
